"C:\Program Files\Python38\python.exe" A:/USU/Assignments/IntelligentSystems/hw03/commands.py
==== Training 784x10x10 ANN ======
Epoch 42: 9385 / 10000
Epoch 43: 9385 / 10000
Epoch 44: 9387 / 10000
Epoch 45: 9381 / 10000
Epoch 46: 9397 / 10000
Epoch 47: 9391 / 10000
Epoch 48: 9382 / 10000
Epoch 49: 9370 / 10000
==== Training 784x20x10 ANN DONE... ======
==== Training 784x30x10 ANN ======
Epoch 0: 8281 / 10000
Epoch 1: 8804 / 10000
Epoch 2: 8968 / 10000
Epoch 3: 9057 / 10000
Epoch 4: 9135 / 10000
Epoch 5: 9168 / 10000
Epoch 6: 9205 / 10000
Epoch 7: 9217 / 10000
Epoch 8: 9256 / 10000
Epoch 9: 9282 / 10000
Epoch 10: 9287 / 10000
Epoch 11: 9306 / 10000
Epoch 12: 9318 / 10000
Epoch 13: 9334 / 10000
Epoch 14: 9335 / 10000
Epoch 15: 9340 / 10000
Epoch 16: 9345 / 10000
Epoch 17: 9356 / 10000
Epoch 18: 9355 / 10000
Epoch 19: 9359 / 10000
Epoch 20: 9366 / 10000
Epoch 21: 9386 / 10000
Epoch 22: 9384 / 10000
Epoch 23: 9376 / 10000
Epoch 24: 9382 / 10000
Epoch 25: 9381 / 10000
Epoch 26: 9378 / 10000
Epoch 27: 9391 / 10000
Epoch 28: 9398 / 10000
Epoch 29: 9411 / 10000
Epoch 30: 9401 / 10000
Epoch 31: 9414 / 10000
Epoch 32: 9413 / 10000
Epoch 33: 9418 / 10000
Epoch 34: 9428 / 10000
Epoch 35: 9427 / 10000
Epoch 36: 9426 / 10000
Epoch 37: 9422 / 10000
Epoch 38: 9430 / 10000
Epoch 39: 9421 / 10000
Epoch 40: 9428 / 10000
Epoch 41: 9430 / 10000
Epoch 42: 9433 / 10000
Epoch 43: 9422 / 10000
Epoch 44: 9418 / 10000
Epoch 45: 9441 / 10000
Epoch 46: 9440 / 10000
Epoch 47: 9424 / 10000
Epoch 48: 9441 / 10000
Epoch 49: 9419 / 10000
==== Training 784x30x10 ANN DONE... ======
==== Training 784x40x10 ANN ======
Epoch 0: 6295 / 10000
Epoch 1: 8657 / 10000
Epoch 2: 8970 / 10000
Epoch 3: 9091 / 10000
Epoch 4: 9173 / 10000
Epoch 5: 9205 / 10000
Epoch 6: 9245 / 10000
Epoch 7: 9276 / 10000
Epoch 8: 9298 / 10000
Epoch 9: 9304 / 10000
Epoch 10: 9322 / 10000
Epoch 11: 9356 / 10000
Epoch 12: 9357 / 10000
Epoch 13: 9381 / 10000
Epoch 14: 9378 / 10000
Epoch 15: 9388 / 10000
Epoch 16: 9387 / 10000
Epoch 17: 9386 / 10000
Epoch 18: 9407 / 10000
Epoch 19: 9403 / 10000
Epoch 20: 9423 / 10000
Epoch 21: 9419 / 10000
Epoch 22: 9405 / 10000
Epoch 23: 9427 / 10000
Epoch 24: 9418 / 10000
Epoch 25: 9428 / 10000
Epoch 26: 9436 / 10000
Epoch 27: 9432 / 10000
Epoch 28: 9432 / 10000
Epoch 29: 9428 / 10000
Epoch 30: 9434 / 10000
Epoch 31: 9436 / 10000
Epoch 32: 9454 / 10000
Epoch 33: 9435 / 10000
Epoch 34: 9457 / 10000
Epoch 35: 9456 / 10000
Epoch 36: 9449 / 10000
Epoch 37: 9459 / 10000
Epoch 38: 9452 / 10000
Epoch 39: 9457 / 10000
Epoch 40: 9455 / 10000
Epoch 41: 9449 / 10000
Epoch 42: 9466 / 10000
Epoch 43: 9472 / 10000
Epoch 44: 9464 / 10000
Epoch 45: 9465 / 10000
Epoch 46: 9461 / 10000
Epoch 47: 9461 / 10000
Epoch 48: 9465 / 10000
Epoch 49: 9462 / 10000
==== Training 784x40x10 ANN DONE... ======
==== Training 784x50x10 ANN ======
Epoch 0: 7050 / 10000
Epoch 1: 7761 / 10000
Epoch 2: 7932 / 10000
Epoch 3: 8037 / 10000
Epoch 4: 8092 / 10000
Epoch 5: 8136 / 10000
Epoch 6: 8152 / 10000
Epoch 7: 8178 / 10000
Epoch 8: 8203 / 10000
Epoch 9: 8214 / 10000
Epoch 10: 8226 / 10000
Epoch 11: 8251 / 10000
Epoch 12: 8264 / 10000
Epoch 13: 8275 / 10000
Epoch 14: 8293 / 10000
Epoch 15: 8291 / 10000
Epoch 16: 8313 / 10000
Epoch 17: 8318 / 10000
Epoch 18: 8322 / 10000
Epoch 19: 8321 / 10000
Epoch 20: 8332 / 10000
Epoch 21: 8325 / 10000
Epoch 22: 8344 / 10000
Epoch 23: 8339 / 10000
Epoch 24: 8344 / 10000
Epoch 25: 8354 / 10000
Epoch 26: 8355 / 10000
Epoch 27: 8340 / 10000
Epoch 28: 8359 / 10000
Epoch 29: 8352 / 10000
Epoch 30: 8351 / 10000
Epoch 31: 8358 / 10000
Epoch 32: 8366 / 10000
Epoch 33: 8372 / 10000
Epoch 34: 8367 / 10000
Epoch 35: 8352 / 10000
Epoch 36: 8364 / 10000
Epoch 37: 8366 / 10000
Epoch 38: 8369 / 10000
Epoch 39: 8375 / 10000
Epoch 40: 8383 / 10000
Epoch 41: 8390 / 10000
Epoch 42: 8384 / 10000
Epoch 43: 8376 / 10000
Epoch 44: 8386 / 10000
Epoch 45: 8381 / 10000
Epoch 46: 8390 / 10000
Epoch 47: 8388 / 10000
Epoch 48: 8391 / 10000
Epoch 49: 8389 / 10000
==== Training 784x50x10 ANN DONE... ======




==== Training 784x10x10 ANN ======
Epoch 0: 5642 / 10000
Epoch 1: 7314 / 10000
Epoch 2: 7967 / 10000
Epoch 3: 8297 / 10000
Epoch 4: 8476 / 10000
Epoch 5: 8584 / 10000
Epoch 6: 8644 / 10000
Epoch 7: 8693 / 10000
Epoch 8: 8755 / 10000
Epoch 9: 8806 / 10000
Epoch 10: 8833 / 10000
Epoch 11: 8857 / 10000
Epoch 12: 8848 / 10000
Epoch 13: 8882 / 10000
Epoch 14: 8906 / 10000
Epoch 15: 8918 / 10000
Epoch 16: 8944 / 10000
Epoch 17: 8943 / 10000
Epoch 18: 8938 / 10000
Epoch 19: 8962 / 10000
Epoch 20: 8973 / 10000
Epoch 21: 8986 / 10000
Epoch 22: 8974 / 10000
Epoch 23: 8984 / 10000
Epoch 24: 8992 / 10000
Epoch 25: 9005 / 10000
Epoch 26: 9014 / 10000
Epoch 27: 9011 / 10000
Epoch 28: 9009 / 10000
Epoch 29: 9021 / 10000
Epoch 30: 9031 / 10000
Epoch 31: 9031 / 10000
Epoch 32: 9028 / 10000
Epoch 33: 9049 / 10000
Epoch 34: 9051 / 10000
Epoch 35: 9069 / 10000
Epoch 36: 9055 / 10000
Epoch 37: 9059 / 10000
Epoch 38: 9069 / 10000
Epoch 39: 9065 / 10000
Epoch 40: 9057 / 10000
Epoch 41: 9068 / 10000
Epoch 42: 9091 / 10000
Epoch 43: 9068 / 10000
Epoch 44: 9082 / 10000
Epoch 45: 9094 / 10000
Epoch 46: 9084 / 10000
Epoch 47: 9078 / 10000
Epoch 48: 9085 / 10000
Epoch 49: 9084 / 10000
==== Training 784x10x10 ANN DONE... ======
==== Training 784x20x10 ANN ======
Epoch 0: 6249 / 10000
Epoch 1: 7386 / 10000
Epoch 2: 8501 / 10000
Epoch 3: 8702 / 10000
Epoch 4: 8819 / 10000
Epoch 5: 8887 / 10000
Epoch 6: 8933 / 10000
Epoch 7: 8984 / 10000
Epoch 8: 9009 / 10000
Epoch 9: 9033 / 10000
Epoch 10: 9054 / 10000
Epoch 11: 9080 / 10000
Epoch 12: 9100 / 10000
Epoch 13: 9107 / 10000
Epoch 14: 9131 / 10000
Epoch 15: 9130 / 10000
Epoch 16: 9151 / 10000
Epoch 17: 9166 / 10000
Epoch 18: 9179 / 10000
Epoch 19: 9171 / 10000
Epoch 20: 9175 / 10000
Epoch 21: 9197 / 10000
Epoch 22: 9195 / 10000
Epoch 23: 9184 / 10000
Epoch 24: 9208 / 10000
Epoch 25: 9212 / 10000
Epoch 26: 9205 / 10000
Epoch 27: 9216 / 10000
Epoch 28: 9215 / 10000
Epoch 29: 9227 / 10000
Epoch 30: 9232 / 10000
Epoch 31: 9219 / 10000
Epoch 32: 9240 / 10000
Epoch 33: 9238 / 10000
Epoch 34: 9247 / 10000
Epoch 35: 9250 / 10000
Epoch 36: 9251 / 10000
Epoch 37: 9256 / 10000
Epoch 38: 9262 / 10000
Epoch 39: 9258 / 10000
Epoch 40: 9259 / 10000
Epoch 41: 9253 / 10000
Epoch 42: 9263 / 10000
Epoch 43: 9266 / 10000
Epoch 44: 9259 / 10000
Epoch 45: 9267 / 10000
Epoch 46: 9268 / 10000
Epoch 47: 9269 / 10000
Epoch 48: 9275 / 10000
Epoch 49: 9269 / 10000
==== Training 784x20x10 ANN DONE... ======
==== Training 784x30x10 ANN ======
Epoch 0: 7163 / 10000
Epoch 1: 7803 / 10000
Epoch 2: 8116 / 10000
Epoch 3: 8675 / 10000
Epoch 4: 8798 / 10000
Epoch 5: 8894 / 10000
Epoch 6: 8955 / 10000
Epoch 7: 9013 / 10000
Epoch 8: 9046 / 10000
Epoch 9: 9097 / 10000
Epoch 10: 9134 / 10000
Epoch 11: 9141 / 10000
Epoch 12: 9152 / 10000
Epoch 13: 9182 / 10000
Epoch 14: 9202 / 10000
Epoch 15: 9205 / 10000
Epoch 16: 9215 / 10000
Epoch 17: 9220 / 10000
Epoch 18: 9250 / 10000
Epoch 19: 9249 / 10000
Epoch 20: 9272 / 10000
Epoch 21: 9278 / 10000
Epoch 22: 9274 / 10000
Epoch 23: 9294 / 10000
Epoch 24: 9290 / 10000
Epoch 25: 9311 / 10000
Epoch 26: 9309 / 10000
Epoch 27: 9311 / 10000
Epoch 28: 9331 / 10000
Epoch 29: 9333 / 10000
Epoch 30: 9330 / 10000
Epoch 31: 9327 / 10000
Epoch 32: 9335 / 10000
Epoch 33: 9339 / 10000
Epoch 34: 9352 / 10000
Epoch 35: 9350 / 10000
Epoch 36: 9350 / 10000
Epoch 37: 9356 / 10000
Epoch 38: 9356 / 10000
Epoch 39: 9374 / 10000
Epoch 40: 9370 / 10000
Epoch 41: 9367 / 10000
Epoch 42: 9363 / 10000
Epoch 43: 9370 / 10000
Epoch 44: 9381 / 10000
Epoch 45: 9362 / 10000
Epoch 46: 9370 / 10000
Epoch 47: 9369 / 10000
Epoch 48: 9367 / 10000
Epoch 49: 9369 / 10000
==== Training 784x30x10 ANN DONE... ======
==== Training 784x40x10 ANN ======
Epoch 0: 4874 / 10000
Epoch 1: 7169 / 10000
Epoch 2: 7730 / 10000
Epoch 3: 7882 / 10000
Epoch 4: 7982 / 10000
Epoch 5: 8074 / 10000
Epoch 6: 8122 / 10000
Epoch 7: 8164 / 10000
Epoch 8: 8207 / 10000
Epoch 9: 8232 / 10000
Epoch 10: 8258 / 10000
Epoch 11: 8281 / 10000
Epoch 12: 8359 / 10000
Epoch 13: 9180 / 10000
Epoch 14: 9215 / 10000
Epoch 15: 9223 / 10000
Epoch 16: 9245 / 10000
Epoch 17: 9265 / 10000
Epoch 18: 9264 / 10000
Epoch 19: 9262 / 10000
Epoch 20: 9284 / 10000
Epoch 21: 9295 / 10000
Epoch 22: 9283 / 10000
Epoch 23: 9311 / 10000
Epoch 24: 9306 / 10000
Epoch 25: 9306 / 10000
Epoch 26: 9316 / 10000
Epoch 27: 9322 / 10000
Epoch 28: 9319 / 10000
Epoch 29: 9331 / 10000
Epoch 30: 9343 / 10000
Epoch 31: 9337 / 10000
Epoch 32: 9354 / 10000
Epoch 33: 9351 / 10000
Epoch 34: 9354 / 10000
Epoch 35: 9364 / 10000
Epoch 36: 9363 / 10000
Epoch 37: 9364 / 10000
Epoch 38: 9369 / 10000
Epoch 39: 9369 / 10000
Epoch 40: 9383 / 10000
Epoch 41: 9371 / 10000
Epoch 42: 9375 / 10000
Epoch 43: 9386 / 10000
Epoch 44: 9404 / 10000
Epoch 45: 9401 / 10000
Epoch 46: 9395 / 10000
Epoch 47: 9406 / 10000
Epoch 48: 9392 / 10000
Epoch 49: 9413 / 10000
==== Training 784x40x10 ANN DONE... ======
==== Training 784x50x10 ANN ======
Epoch 0: 4730 / 10000
Epoch 1: 6931 / 10000
Epoch 2: 7734 / 10000
Epoch 3: 7926 / 10000
Epoch 4: 8044 / 10000
Epoch 5: 8109 / 10000
Epoch 6: 8180 / 10000
Epoch 7: 8209 / 10000
Epoch 8: 8250 / 10000
Epoch 9: 8267 / 10000
Epoch 10: 8300 / 10000
Epoch 11: 8316 / 10000
Epoch 12: 8339 / 10000
Epoch 13: 8356 / 10000
Epoch 14: 8375 / 10000
Epoch 15: 8597 / 10000
Epoch 16: 9269 / 10000
Epoch 17: 9283 / 10000
Epoch 18: 9293 / 10000
Epoch 19: 9303 / 10000
Epoch 20: 9320 / 10000
Epoch 21: 9320 / 10000
Epoch 22: 9332 / 10000
Epoch 23: 9344 / 10000
Epoch 24: 9360 / 10000
Epoch 25: 9362 / 10000
Epoch 26: 9369 / 10000
Epoch 27: 9364 / 10000
Epoch 28: 9370 / 10000
Epoch 29: 9372 / 10000
Epoch 30: 9387 / 10000
Epoch 31: 9387 / 10000
Epoch 32: 9391 / 10000
Epoch 33: 9396 / 10000
Epoch 34: 9398 / 10000
Epoch 35: 9398 / 10000
Epoch 36: 9404 / 10000
Epoch 37: 9400 / 10000
Epoch 38: 9408 / 10000
Epoch 39: 9411 / 10000
Epoch 40: 9422 / 10000
