==== Training 784x10x10 ANN ======
Epoch 2: 8848 / 10000
Epoch 3: 8951 / 10000
Epoch 4: 9034 / 10000
Epoch 5: 9072 / 10000
Epoch 6: 9125 / 10000
Epoch 7: 9152 / 10000
Epoch 8: 9171 / 10000
Epoch 9: 9183 / 10000
Epoch 10: 9216 / 10000
Epoch 11: 9232 / 10000
Epoch 12: 9248 / 10000
Epoch 13: 9238 / 10000
Epoch 14: 9252 / 10000
Epoch 15: 9262 / 10000
Epoch 16: 9279 / 10000
Epoch 17: 9270 / 10000
Epoch 18: 9282 / 10000
Epoch 19: 9278 / 10000
Epoch 20: 9280 / 10000
Epoch 21: 9278 / 10000
Epoch 22: 9277 / 10000
Epoch 23: 9302 / 10000
Epoch 24: 9289 / 10000
Epoch 25: 9296 / 10000
Epoch 26: 9297 / 10000
Epoch 27: 9308 / 10000
Epoch 28: 9310 / 10000
Epoch 29: 9324 / 10000
Epoch 30: 9319 / 10000
Epoch 31: 9317 / 10000
Epoch 32: 9315 / 10000
Epoch 33: 9322 / 10000
Epoch 34: 9339 / 10000
Epoch 35: 9321 / 10000
Epoch 36: 9340 / 10000
Epoch 37: 9322 / 10000
Epoch 38: 9332 / 10000
Epoch 39: 9342 / 10000
Epoch 40: 9335 / 10000
Epoch 41: 9337 / 10000
Epoch 42: 9346 / 10000
Epoch 43: 9330 / 10000
Epoch 44: 9344 / 10000
Epoch 45: 9332 / 10000
Epoch 46: 9335 / 10000
Epoch 47: 9336 / 10000
Epoch 48: 9340 / 10000
Epoch 49: 9337 / 10000
==== Training 784x20x10 ANN DONE... ======
==== Training 784x30x10 ANN ======
Epoch 0: 7083 / 10000
Epoch 1: 7904 / 10000
Epoch 2: 8072 / 10000
Epoch 3: 8182 / 10000
Epoch 4: 8210 / 10000
Epoch 5: 8286 / 10000
Epoch 6: 8287 / 10000
Epoch 7: 8329 / 10000
Epoch 8: 9114 / 10000
Epoch 9: 9187 / 10000
Epoch 10: 9206 / 10000
Epoch 11: 9241 / 10000
Epoch 12: 9248 / 10000
Epoch 13: 9279 / 10000
Epoch 14: 9279 / 10000
Epoch 15: 9296 / 10000
Epoch 16: 9309 / 10000
Epoch 17: 9313 / 10000
Epoch 18: 9327 / 10000
Epoch 19: 9320 / 10000
Epoch 20: 9348 / 10000
Epoch 21: 9343 / 10000
Epoch 22: 9352 / 10000
Epoch 23: 9364 / 10000
Epoch 24: 9383 / 10000
Epoch 25: 9357 / 10000
Epoch 26: 9368 / 10000
Epoch 27: 9388 / 10000
Epoch 28: 9377 / 10000
Epoch 29: 9384 / 10000
Epoch 30: 9375 / 10000
Epoch 31: 9402 / 10000
Epoch 32: 9384 / 10000
Epoch 33: 9399 / 10000
Epoch 34: 9394 / 10000
Epoch 35: 9388 / 10000
Epoch 36: 9393 / 10000
Epoch 37: 9396 / 10000
Epoch 38: 9395 / 10000
Epoch 39: 9397 / 10000
Epoch 40: 9413 / 10000
Epoch 41: 9406 / 10000
Epoch 42: 9419 / 10000
Epoch 43: 9413 / 10000
Epoch 44: 9422 / 10000
Epoch 45: 9415 / 10000
Epoch 46: 9426 / 10000
Epoch 47: 9417 / 10000
Epoch 48: 9420 / 10000
Epoch 49: 9422 / 10000
==== Training 784x30x10 ANN DONE... ======
==== Training 784x40x10 ANN ======
Epoch 0: 8142 / 10000
Epoch 1: 8742 / 10000
Epoch 2: 8914 / 10000
Epoch 3: 9057 / 10000
Epoch 4: 9127 / 10000
Epoch 5: 9166 / 10000
Epoch 6: 9204 / 10000
Epoch 7: 9229 / 10000
Epoch 8: 9256 / 10000
Epoch 9: 9268 / 10000
Epoch 10: 9283 / 10000
Epoch 11: 9296 / 10000
Epoch 12: 9309 / 10000
Epoch 13: 9322 / 10000
Epoch 14: 9322 / 10000
Epoch 15: 9348 / 10000
Epoch 16: 9340 / 10000
Epoch 17: 9347 / 10000
Epoch 18: 9365 / 10000
Epoch 19: 9371 / 10000
Epoch 20: 9366 / 10000
Epoch 21: 9392 / 10000
Epoch 22: 9384 / 10000
Epoch 23: 9392 / 10000
Epoch 24: 9395 / 10000
Epoch 25: 9420 / 10000
Epoch 26: 9412 / 10000
Epoch 27: 9416 / 10000
Epoch 28: 9406 / 10000
Epoch 29: 9404 / 10000
Epoch 30: 9416 / 10000
Epoch 31: 9438 / 10000
Epoch 32: 9433 / 10000
Epoch 33: 9426 / 10000
Epoch 34: 9425 / 10000
Epoch 35: 9442 / 10000
Epoch 36: 9439 / 10000
Epoch 37: 9433 / 10000
Epoch 38: 9440 / 10000
Epoch 39: 9434 / 10000
Epoch 40: 9452 / 10000
Epoch 41: 9452 / 10000
Epoch 42: 9450 / 10000
Epoch 43: 9448 / 10000
Epoch 44: 9451 / 10000
Epoch 45: 9464 / 10000
Epoch 46: 9456 / 10000
Epoch 47: 9456 / 10000
Epoch 48: 9464 / 10000
Epoch 49: 9461 / 10000
==== Training 784x40x10 ANN DONE... ======
==== Training 784x50x10 ANN ======
Epoch 0: 6962 / 10000
Epoch 1: 7919 / 10000
Epoch 2: 8130 / 10000
Epoch 3: 8198 / 10000
Epoch 4: 8292 / 10000
Epoch 5: 8343 / 10000
Epoch 6: 8384 / 10000
Epoch 7: 8411 / 10000
Epoch 8: 8438 / 10000
Epoch 9: 8449 / 10000
Epoch 10: 8466 / 10000
Epoch 11: 8491 / 10000
Epoch 12: 8499 / 10000
Epoch 13: 8527 / 10000
Epoch 14: 8523 / 10000
Epoch 15: 8550 / 10000
Epoch 16: 9398 / 10000
Epoch 17: 9386 / 10000
Epoch 18: 9407 / 10000
Epoch 19: 9415 / 10000
Epoch 20: 9423 / 10000
Epoch 21: 9435 / 10000
Epoch 22: 9445 / 10000
Epoch 23: 9448 / 10000
Epoch 24: 9457 / 10000
Epoch 25: 9449 / 10000
Epoch 26: 9458 / 10000
Epoch 27: 9469 / 10000
Epoch 28: 9480 / 10000
Epoch 29: 9482 / 10000
Epoch 30: 9492 / 10000
Epoch 31: 9490 / 10000
Epoch 32: 9500 / 10000
Epoch 33: 9497 / 10000
Epoch 34: 9501 / 10000
Epoch 35: 9511 / 10000
Epoch 36: 9511 / 10000
Epoch 37: 9512 / 10000
Epoch 38: 9517 / 10000
Epoch 39: 9517 / 10000
Epoch 40: 9513 / 10000
Epoch 41: 9517 / 10000
Epoch 42: 9520 / 10000
Epoch 43: 9513 / 10000
Epoch 44: 9520 / 10000
Epoch 45: 9510 / 10000
Epoch 46: 9528 / 10000
Epoch 47: 9515 / 10000
Epoch 48: 9524 / 10000
Epoch 49: 9523 / 10000
==== Training 784x50x10 ANN DONE... ======




==== Training 784x10x10 ANN ======
Epoch 0: 6433 / 10000
Epoch 1: 7689 / 10000
Epoch 2: 8117 / 10000
Epoch 3: 8393 / 10000
Epoch 4: 8516 / 10000
Epoch 5: 8598 / 10000
Epoch 6: 8676 / 10000
Epoch 7: 8751 / 10000
Epoch 8: 8797 / 10000
Epoch 9: 8826 / 10000
Epoch 10: 8850 / 10000
Epoch 11: 8871 / 10000
Epoch 12: 8869 / 10000
Epoch 13: 8897 / 10000
Epoch 14: 8919 / 10000
Epoch 15: 8913 / 10000
Epoch 16: 8939 / 10000
Epoch 17: 8942 / 10000
Epoch 18: 8948 / 10000
Epoch 19: 8951 / 10000
Epoch 20: 8992 / 10000
Epoch 21: 9002 / 10000
Epoch 22: 9015 / 10000
Epoch 23: 9018 / 10000
Epoch 24: 9026 / 10000
Epoch 25: 9029 / 10000
Epoch 26: 9052 / 10000
Epoch 27: 9036 / 10000
Epoch 28: 9057 / 10000
Epoch 29: 9035 / 10000
Epoch 30: 9063 / 10000
Epoch 31: 9063 / 10000
Epoch 32: 9043 / 10000
Epoch 33: 9066 / 10000
Epoch 34: 9060 / 10000
Epoch 35: 9072 / 10000
Epoch 36: 9063 / 10000
Epoch 37: 9061 / 10000
Epoch 38: 9068 / 10000
Epoch 39: 9056 / 10000
Epoch 40: 9086 / 10000
Epoch 41: 9090 / 10000
Epoch 42: 9089 / 10000
Epoch 43: 9076 / 10000
Epoch 44: 9092 / 10000
Epoch 45: 9093 / 10000
Epoch 46: 9096 / 10000
Epoch 47: 9090 / 10000
Epoch 48: 9118 / 10000
Epoch 49: 9080 / 10000
==== Training 784x10x10 ANN DONE... ======
