==== Training 784x10x10x10 ANN ======
Epoch 33: 9248 / 10000
Epoch 34: 9224 / 10000
Epoch 35: 9233 / 10000
Epoch 36: 9235 / 10000
Epoch 37: 9259 / 10000
Epoch 38: 9236 / 10000
Epoch 39: 9250 / 10000
Epoch 40: 9241 / 10000
Epoch 41: 9229 / 10000
Epoch 42: 9250 / 10000
Epoch 43: 9239 / 10000
Epoch 44: 9266 / 10000
Epoch 45: 9269 / 10000
Epoch 46: 9265 / 10000
Epoch 47: 9266 / 10000
Epoch 48: 9268 / 10000
Epoch 49: 9268 / 10000
==== Training 784x20x10x10 ANN DONE... ======
==== Training 784x20x20x10 ANN ======
Epoch 0: 6884 / 10000
Epoch 1: 8075 / 10000
Epoch 2: 8466 / 10000
Epoch 3: 8680 / 10000
Epoch 4: 8791 / 10000
Epoch 5: 8880 / 10000
Epoch 6: 8945 / 10000
Epoch 7: 8997 / 10000
Epoch 8: 9024 / 10000
Epoch 9: 9068 / 10000
Epoch 10: 9075 / 10000
Epoch 11: 9094 / 10000
Epoch 12: 9113 / 10000
Epoch 13: 9127 / 10000
Epoch 14: 9147 / 10000
Epoch 15: 9151 / 10000
Epoch 16: 9160 / 10000
Epoch 17: 9182 / 10000
Epoch 18: 9178 / 10000
Epoch 19: 9193 / 10000
Epoch 20: 9211 / 10000
Epoch 21: 9220 / 10000
Epoch 22: 9237 / 10000
Epoch 23: 9232 / 10000
Epoch 24: 9241 / 10000
Epoch 25: 9245 / 10000
Epoch 26: 9270 / 10000
Epoch 27: 9258 / 10000
Epoch 28: 9262 / 10000
Epoch 29: 9266 / 10000
Epoch 30: 9270 / 10000
Epoch 31: 9267 / 10000
Epoch 32: 9283 / 10000
Epoch 33: 9294 / 10000
Epoch 34: 9295 / 10000
Epoch 35: 9304 / 10000
Epoch 36: 9297 / 10000
Epoch 37: 9300 / 10000
Epoch 38: 9294 / 10000
Epoch 39: 9312 / 10000
Epoch 40: 9305 / 10000
Epoch 41: 9297 / 10000
Epoch 42: 9314 / 10000
Epoch 43: 9301 / 10000
Epoch 44: 9321 / 10000
Epoch 45: 9319 / 10000
Epoch 46: 9320 / 10000
Epoch 47: 9331 / 10000
Epoch 48: 9319 / 10000
Epoch 49: 9326 / 10000
==== Training 784x20x20x10 ANN DONE... ======
==== Training 784x20x30x10 ANN ======
Epoch 0: 7185 / 10000
Epoch 1: 8288 / 10000
Epoch 2: 8643 / 10000
Epoch 3: 8801 / 10000
Epoch 4: 8876 / 10000
Epoch 5: 8970 / 10000
Epoch 6: 9010 / 10000
Epoch 7: 9068 / 10000
Epoch 8: 9098 / 10000
Epoch 9: 9118 / 10000
Epoch 10: 9156 / 10000
Epoch 11: 9185 / 10000
Epoch 12: 9171 / 10000
Epoch 13: 9194 / 10000
Epoch 14: 9219 / 10000
Epoch 15: 9215 / 10000
Epoch 16: 9235 / 10000
Epoch 17: 9226 / 10000
Epoch 18: 9239 / 10000
Epoch 19: 9252 / 10000
Epoch 20: 9258 / 10000
Epoch 21: 9263 / 10000
Epoch 22: 9268 / 10000
Epoch 23: 9279 / 10000
Epoch 24: 9279 / 10000
Epoch 25: 9273 / 10000
Epoch 26: 9285 / 10000
Epoch 27: 9278 / 10000
Epoch 28: 9288 / 10000
Epoch 29: 9310 / 10000
Epoch 30: 9304 / 10000
Epoch 31: 9319 / 10000
Epoch 32: 9322 / 10000
Epoch 33: 9337 / 10000
Epoch 34: 9307 / 10000
Epoch 35: 9318 / 10000
Epoch 36: 9314 / 10000
Epoch 37: 9338 / 10000
Epoch 38: 9323 / 10000
Epoch 39: 9335 / 10000
Epoch 40: 9339 / 10000
Epoch 41: 9334 / 10000
Epoch 42: 9338 / 10000
Epoch 43: 9339 / 10000
Epoch 44: 9335 / 10000
Epoch 45: 9339 / 10000
Epoch 46: 9346 / 10000
Epoch 47: 9352 / 10000
Epoch 48: 9341 / 10000
Epoch 49: 9357 / 10000
==== Training 784x20x30x10 ANN DONE... ======
==== Training 784x20x40x10 ANN ======
Epoch 0: 6106 / 10000
Epoch 1: 7185 / 10000
Epoch 2: 7519 / 10000
Epoch 3: 7685 / 10000
Epoch 4: 7790 / 10000
Epoch 5: 8935 / 10000
Epoch 6: 8989 / 10000
Epoch 7: 9029 / 10000
Epoch 8: 9074 / 10000
Epoch 9: 9116 / 10000
Epoch 10: 9144 / 10000
Epoch 11: 9167 / 10000
Epoch 12: 9202 / 10000
Epoch 13: 9208 / 10000
Epoch 14: 9218 / 10000
Epoch 15: 9246 / 10000
Epoch 16: 9233 / 10000
Epoch 17: 9259 / 10000
Epoch 18: 9257 / 10000
Epoch 19: 9277 / 10000
Epoch 20: 9273 / 10000
Epoch 21: 9283 / 10000
Epoch 22: 9286 / 10000
Epoch 23: 9298 / 10000
Epoch 24: 9308 / 10000
Epoch 25: 9312 / 10000
Epoch 26: 9304 / 10000
Epoch 27: 9298 / 10000
Epoch 28: 9322 / 10000
Epoch 29: 9311 / 10000
Epoch 30: 9346 / 10000
Epoch 31: 9342 / 10000
Epoch 32: 9336 / 10000
Epoch 33: 9346 / 10000
Epoch 34: 9354 / 10000
Epoch 35: 9350 / 10000
Epoch 36: 9358 / 10000
Epoch 37: 9344 / 10000
Epoch 38: 9352 / 10000
Epoch 39: 9348 / 10000
Epoch 40: 9353 / 10000
Epoch 41: 9360 / 10000
Epoch 42: 9365 / 10000
Epoch 43: 9369 / 10000
Epoch 44: 9376 / 10000
Epoch 45: 9375 / 10000
Epoch 46: 9358 / 10000
Epoch 47: 9371 / 10000
Epoch 48: 9367 / 10000
Epoch 49: 9370 / 10000
==== Training 784x20x40x10 ANN DONE... ======
==== Training 784x20x50x10 ANN ======
Epoch 0: 7703 / 10000
Epoch 1: 8467 / 10000
Epoch 2: 8699 / 10000
Epoch 3: 8878 / 10000
Epoch 4: 8971 / 10000
Epoch 5: 9022 / 10000
Epoch 6: 9054 / 10000
Epoch 7: 9091 / 10000
Epoch 8: 9115 / 10000
Epoch 9: 9116 / 10000
Epoch 10: 9163 / 10000
Epoch 11: 9164 / 10000
Epoch 12: 9180 / 10000
Epoch 13: 9204 / 10000
Epoch 14: 9223 / 10000
Epoch 15: 9221 / 10000
Epoch 16: 9247 / 10000
Epoch 17: 9244 / 10000
Epoch 18: 9259 / 10000
Epoch 19: 9268 / 10000
Epoch 20: 9271 / 10000
Epoch 21: 9275 / 10000
Epoch 22: 9279 / 10000
Epoch 23: 9278 / 10000
Epoch 24: 9292 / 10000
Epoch 25: 9286 / 10000
Epoch 26: 9304 / 10000
Epoch 27: 9308 / 10000
Epoch 28: 9298 / 10000
Epoch 29: 9310 / 10000
Epoch 30: 9329 / 10000
Epoch 31: 9310 / 10000
Epoch 32: 9334 / 10000
Epoch 33: 9333 / 10000
Epoch 34: 9323 / 10000
Epoch 35: 9341 / 10000
Epoch 36: 9341 / 10000
Epoch 37: 9347 / 10000
Epoch 38: 9340 / 10000
Epoch 39: 9342 / 10000
Epoch 40: 9358 / 10000
Epoch 41: 9350 / 10000
Epoch 42: 9359 / 10000
Epoch 43: 9361 / 10000
Epoch 44: 9357 / 10000
Epoch 45: 9367 / 10000
Epoch 46: 9369 / 10000
Epoch 47: 9363 / 10000
Epoch 48: 9372 / 10000
Epoch 49: 9378 / 10000
==== Training 784x20x50x10 ANN DONE... ======
==== Training 784x30x10x10 ANN ======
Epoch 0: 6626 / 10000
Epoch 1: 8026 / 10000
